ホテルID,ホテル名,部屋番号,表示順,CTI連携キー,鍵開けURL,鍵開けCH番号
000000269,HOTEL TIARA Brun,405,21,7775405,,
000000269,HOTEL TIARA Brun,406,22,7775406,,
000000269,HOTEL TIARA Brun,407,23,7775407,,
000000269,HOTEL TIARA Brun,待合A,24,7775001,,
000000269,HOTEL TIARA Brun,待合B,25,7775002,,
000000269,HOTEL TIARA Brun,待合C,26,7775003,,
000000269,HOTEL TIARA Brun,パネル横,27,7775555,,
000000300,ホテルOX,101,1,3595101,,
000000300,ホテルOX,102,2,3595102,,
000000300,ホテルOX,103,3,3595103,,
000000300,ホテルOX,105,4,3595105,,
000000300,ホテルOX,106,5,3595106,,
000000300,ホテルOX,107,6,3595107,,
000000300,ホテルOX,108,7,3595108,,
000000300,ホテルOX,110,8,3595110,,
000000300,ホテルOX,111,9,3595111,,
000000300,ホテルOX,112,10,3595112,,
000000300,ホテルOX,201,11,3595201,,
000000300,ホテルOX,202,12,3595202,,
000000300,ホテルOX,203,13,3595203,,
000000300,ホテルOX,205,14,3595205,,
000000300,ホテルOX,206,15,3595206,,
000000300,ホテルOX,207,16,3595207,,
000000300,ホテルOX,208,17,3595208,,
000000300,ホテルOX,210,18,3595210,,
000000300,ホテルOX,211,19,3595211,,
000000300,ホテルOX,212,20,3595212,,
000000300,ホテルOX,301,21,3595301,,
000000300,ホテルOX,302,22,3595302,,
000000300,ホテルOX,303,23,3595303,,
000000300,ホテルOX,305,24,3595305,,
000000300,ホテルOX,306,25,3595306,,
000000300,ホテルOX,307,26,3595307,,
000000300,ホテルOX,308,27,3595308,,
000000300,ホテルOX,310,28,3595310,,
000000300,ホテルOX,311,29,3595311,,
000000300,ホテルOX,312,30,3595312,,
000000301,ホテルUs 弁天橋,201,1,3605201,,
000000301,ホテルUs 弁天橋,202,2,3605202,,
000000301,ホテルUs 弁天橋,203,3,3605203,,
000000301,ホテルUs 弁天橋,205,4,3605205,,
000000301,ホテルUs 弁天橋,206,5,3605206,,
000000301,ホテルUs 弁天橋,207,6,3605207,,
000000301,ホテルUs 弁天橋,208,7,3605208,,
000000301,ホテルUs 弁天橋,210,8,3605210,,
000000301,ホテルUs 弁天橋,301,9,3605301,,
000000301,ホテルUs 弁天橋,302,10,3605302,,
000000301,ホテルUs 弁天橋,303,11,3605303,,
000000301,ホテルUs 弁天橋,305,12,3605305,,
000000301,ホテルUs 弁天橋,306,13,3605306,,
000000301,ホテルUs 弁天橋,307,14,3605307,,
000000301,ホテルUs 弁天橋,308,15,3605308,,
000000301,ホテルUs 弁天橋,310,16,3605310,,
000000301,ホテルUs 弁天橋,311,17,3605311,,
000000301,ホテルUs 弁天橋,312,18,3605312,,
000000301,ホテルUs 弁天橋,313,19,3605313,,
000000301,ホテルUs 弁天橋,401,20,3605401,,
000000301,ホテルUs 弁天橋,403,21,3605403,,
000000301,ホテルUs 弁天橋,405,22,3605405,,
000000301,ホテルUs 弁天橋,406,23,3605406,,
000000301,ホテルUs 弁天橋,407,24,3605407,,
000000301,ホテルUs 弁天橋,408,25,3605408,,
000000301,ホテルUs 弁天橋,410,26,3605410,,
000000301,ホテルUs 弁天橋,411,27,3605411,,
000000301,ホテルUs 弁天橋,413,28,3605413,,
000000301,ホテルUs 弁天橋,415,29,3605415,,
000000301,ホテルUs 弁天橋,416,30,3605416,,
000000302,ホテルUs 競馬場,105,1,3615105,,
000000302,ホテルUs 競馬場,106,2,3615106,,
000000302,ホテルUs 競馬場,201,3,3615201,,
000000302,ホテルUs 競馬場,203,4,3615203,,
000000302,ホテルUs 競馬場,205,5,3615205,,
000000302,ホテルUs 競馬場,206,6,3615206,,
000000302,ホテルUs 競馬場,207,7,3615207,,
000000302,ホテルUs 競馬場,208,8,3615208,,
000000302,ホテルUs 競馬場,210,9,3615210,,
000000302,ホテルUs 競馬場,211,10,3615211,,
000000302,ホテルUs 競馬場,301,11,3615301,,
000000302,ホテルUs 競馬場,303,12,3615303,,
000000302,ホテルUs 競馬場,305,13,3615305,,
